RICE;RICE_KEY;RICE base;Tipo comparação;Presente Empresa;Presente Consultoria;Origem;Qtd registros na origem;Fases encontradas na origem;Responsáveis consolidados;Status consolidado origem;Fase consolidada origem;Total registros Empresa;Total registros Consultoria;__origem;__arquivo;Identificação da tarefa;Nome da tarefa;Categoria;Meta;Status;Prioridade;Atribuído a;Criado por;Criado em;Data de conclusão;Data de início;É Recorrente;Atrasados;Concluído em;Concluída por;Itens concluídos da lista de verificação;Itens da lista de verificação;Rótulos;Notas
ACE#01;ACE#01;ACE#01;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Willian Morais – Logística; Leonardo Gomes";Não iniciado;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;qXHxawx_wE6l-_ETcvGmImUABpRe;OTM#38|ACE#01 - Integração Motoristas  (Funcionário) ERP x OTM;10|Deploy;;Não iniciado;Média;"Willian Morais – Logística;Leonardo Gomes";Jean Piere Moretto;2026-01-29;2026-02-16;2026-02-13;;true;;;;;19|Oracle/Ninecon;
ACE#01;ACE#01;ACE#01;RICE igual;Sim;Sim;Consultoria;1;09|Teste|Key User;"Leandro Rosa; Douglas Sampaio; braulio.filho; Mario Junio da Silva; Osni Campos";Em andamento;09|Teste|Key User;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;ECND5P-EqUCmiT54fmYPFGUAIjex;OTM#38|ACE#01;09|Teste|Key User;;Em andamento;Urgente;"Leandro Rosa;Douglas Sampaio;;braulio.filho;Mario Junio da Silva;Osni Campos";;2025-12-02;2026-02-16;;;true;;;;;"Ninecon;Inicio SIT";Integração Motoristas  (Funcionário) ERP x OTM
ADJ02;ADJ02;ADJ02;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Em andamento;05|Em construção;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;-ZwiVSD7tEGLQh6NetYL02UAK0q7;ADJ02 - Integração Baixa Ativo Imobilizado;05|Em construção;;Em andamento;Média;Cleber Escritori;Jean Piere Moretto;2026-01-29;2026-01-27;2026-01-19;;true;;;;;17|TR/Adejo;
ADJ02;ADJ02;ADJ02;RICE igual;Sim;Sim;Consultoria;1;16|MF-Validada e aprovada;Fernanda Ferreira Vitiello de Sousa;Concluída;16|MF-Validada e aprovada;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;lbRNrCipH0-FrSaWh567yGUALVFX;ADJ02 - Baixa dos Ativos - SAFX83;16|MF-Validada e aprovada;;Concluída;Média;Fernanda Ferreira Vitiello de Sousa;Fernanda Ferreira Vitiello de Sousa;2026-01-13;2026-02-10;;;false;2026-04-27;Fernanda Ferreira Vitiello de Sousa;;;Adejo - Thomso;Desenvolvimento de Integração entre o Oracle Cloud para Tax One
ADJ04;ADJ04;ADJ04;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Não iniciado;08|Pré-Teste|Parceiro;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;1nAcQbg1Y063Yn6Wisj102UAL26L;ADJ04 - Regimes Especiais - RPT01;08|Pré-Teste|Parceiro;;Não iniciado;Média;Cleber Escritori;Jean Piere Moretto;2026-01-29;;;;false;;;;;"14|Agrosys - C.Ovos e Inc.;15|Agrosys - Fab. Rações e FFO";
ADJ04;ADJ04;ADJ04;RICE igual;Sim;Sim;Consultoria;1;05|Em construção;"Cleber Escritori; Renato Mezzalira; Fernanda Ferreira Vitiello de Sousa";Não iniciado;05|Em construção;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;WEGF2TDkcU6qNzbNsKUBa2UAOgtO;ADJ04 - Relatório de Conferência Fiscal;05|Em construção;;Não iniciado;Média;"Cleber Escritori;Renato Mezzalira;Fernanda Ferreira Vitiello de Sousa";Fernanda Ferreira Vitiello de Sousa;2026-01-13;2026-04-15;;;true;;;;;Adejo - Thomso;"GAP AN100 AD04 - RELATORIO CUSTOMIZADO DE NOTAS FISCAIS
Em Re-analise, primeira analise que fizemos chegamos a conclusão que é melhor ter isso pronto e testado durante o SIT e utilizarmos no UAT.
é um relatório final que precisamos utilizar depois que tivermos tudo configurado e testado, em resumo a preocupação maior e fazer os dados chegar na ferramenta o Relatório é importante para fazermos as apurações ajustes.
diante disse conseguem rever essa data 19/01."
ADJ-11;ADJ11;ADJ-11;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Não iniciado;00|Não Iniciado;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;6BM0_9Ru00y4GBFOZ55clWUAJ7GE;ADJ-11 - SAFX10 - MOV ESTOQUE;00|Não Iniciado;;Não iniciado;Média;Cleber Escritori;Jean Piere Moretto;2026-02-06;;;;false;;;;;17|TR/Adejo;"ADJ-11 - SAFX10 - MOV ESTOQUE - Para entrega da obrigação CAT
27/Jan- Fernanda fez via e-mail um novo FUP para avaliar se o Cleber tem alguma objeção
26/Jan- Wanessa solicitou a revisão do Cleber (Pluma)
23/Jan-enviado CR para incluir essa RICE no Cronograma."
ADJ11;ADJ11;ADJ-11;RICE igual;Sim;Sim;Consultoria;1;16|MF-Validada e aprovada;"Cleber Escritori; Wanessa Raspini Garcia; Fernanda Ferreira Vitiello de Sousa";Concluída;16|MF-Validada e aprovada;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;gO9TccvLW0yjRPrc-iQb72UADZfj;ADJ11 - Movimentos de Estoque - SAFX10;16|MF-Validada e aprovada;;Concluída;Média;"Cleber Escritori;Wanessa Raspini Garcia;Fernanda Ferreira Vitiello de Sousa";Fernanda Ferreira Vitiello de Sousa;2026-01-23;2026-04-10;;;false;2026-05-11;Fernanda Ferreira Vitiello de Sousa;;;Adejo - Thomso;ADJ-11 - SAFX10 - MOV ESTOQUE - Para entrega da obrigação CAT
ADJ12;ADJ12;ADJ12;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Em andamento;09|Teste|Key User;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;kOKvLzHUp0uADkY4E1qeE2UAJjYX;ADJ12 - Desenho e Implementação SAFX266/267/268 - Ordens de Produção Conjunta;09|Teste|Key User;;Em andamento;Média;Cleber Escritori;Jean Piere Moretto;2026-01-29;2026-02-05;2025-12-23;;true;;;;;"14|Agrosys - C.Ovos e Inc.;15|Agrosys - Fab. Rações e FFO;25|Bloqueado";
ADJ12;ADJ12;ADJ12;RICE igual;Sim;Sim;Consultoria;1;16|MF-Validada e aprovada;"Deise Rosa - Tributário | Grupo Pluma; Cleber Escritori; Fernanda Ferreira Vitiello de Sousa";Concluída;16|MF-Validada e aprovada;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;hrhEiO2kUkiJwNEHBxItGmUAEaht;ADJ12 - Ordens de Produção Conjunta;16|MF-Validada e aprovada;;Concluída;Média;"Deise Rosa - Tributário | Grupo Pluma;Cleber Escritori;Fernanda Ferreira Vitiello de Sousa";Fernanda Ferreira Vitiello de Sousa;2026-01-14;2026-02-02;;;false;2026-02-13;Fernanda Ferreira Vitiello de Sousa;;;Adejo - Thomso;GAP AN100 AD012 - BLOCO K SAFX266 267 268 - PRODUÇÃO CONJUNTA
ADJ13;ADJ13;ADJ13;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Não iniciado;05|Em construção;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;4FgytaE9ukm0YjerR_zaX2UAPnOh;ADJ13 - Interfaces Lucro Presumido - SAFX183 + SAFX187;05|Em construção;;Não iniciado;Média;Cleber Escritori;Jean Piere Moretto;2026-01-29;2026-01-28;2026-01-19;;true;;;;;"14|Agrosys - C.Ovos e Inc.;15|Agrosys - Fab. Rações e FFO;25|Bloqueado";
ADJ13;ADJ13;ADJ13;RICE igual;Sim;Sim;Consultoria;1;16|MF-Validada e aprovada;Fernanda Ferreira Vitiello de Sousa;Concluída;16|MF-Validada e aprovada;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;C6Xb_U4XGUO_OprvZ3BjKGUANQXf;ADJ13 - Lucro Presumido - SAFX183/187;16|MF-Validada e aprovada;;Concluída;Média;Fernanda Ferreira Vitiello de Sousa;Fernanda Ferreira Vitiello de Sousa;2026-01-14;2026-03-06;;;false;2026-04-22;Fernanda Ferreira Vitiello de Sousa;;;Adejo - Thomso;Aguardando liberação da Estrutura Fake até 16/01 da TR para poder iniciar os desenvolvimento pelo consultor tecnico da Adejo
AP.SF#01;AP.SF#01;AP.SF#01;RICE igual;Sim;Sim;Empresa;14;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy | 11|MF-Backlog DEV;"Giselli Schneider - Export Department; Mateus Fetzner - Programa Conecta; Gabriel Santos de Miranda";Em andamento;11|MF-Backlog DEV;14;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;DQjmmzftc06yUCaAL787cmUAFPok;GCO#21 | AP.SF#01 - Criação automática de Ordem de Compra para Numerários de Importação e Exportação ;11|MF-Backlog DEV;;Em andamento;Média;"Giselli Schneider - Export Department;Mateus Fetzner - Programa Conecta;Gabriel Santos de Miranda";Franciele de Almeida | Suprimentos | Cascavel;2026-05-12;2026-03-30;2026-03-27;;true;;;;;"05|Compras/Supply;19|Oracle/Ninecon";"27/04 - Aprovado com ressalvas cfe e-mail - Estamos sinalizando desde os testes unitários a
necessidade de o campo método de comunicação estar o e-mail em default,
não foi resolvido em DEV2 e estamos aprovando as RICES com geração automática
de ordem de compras sem retorno dessa solicitação.
Para pagamento das comissões, o fornecedor deverá
receber a OC em e-mail para seguir com o faturamento."
AP.SF#01;AP.SF#01;AP.SF#01;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Alisson Gomide; Leandro Rosa; Mario Junio da Silva; Osni Campos";Concluída;10|Deploy;14;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;RpDZszTTTkeePOosjhA6_WUABZAy;GCO#21|AP.SF#01;10|Deploy;;Concluída;Importante;"Alisson Gomide;Leandro Rosa;;Mario Junio da Silva;Osni Campos";;2025-12-02;2026-04-06;;;false;2026-04-27;Eliana Mazzilli;;;"Durante SIT;Ninecon";Criação automática de Ordem de Compra para Numerários de Importação e Exportação
APO 10;APO10;APO 10;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Não iniciado;07|Ajuste|Cons;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;Vumz7fEFMkqeMPZCXUlX6WUAEa6q;PFC 320 | APO 10 | APO 110 | PPX 490 - Interface - Conta Corrente Integrado;07|Ajuste|Cons;;Não iniciado;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2025-09-26;2025-09-25;;true;;;;;16|Agrosys - Frango Corte e Peixe;
APO 10;APO10;APO 10;RICE igual;Sim;Sim;Consultoria;1;07|Ajuste|Cons;Priscila Santos;Em andamento;07|Ajuste|Cons;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Sytk9VMdwUSWfQRAo4ZAL2UAJZOh;PFC 320 |PPX 490 |APO 10  - APO 110 Interface - Conta Corrente Integrado - CPR#02;07|Ajuste|Cons;;Em andamento;Média;"Priscila Santos;";Kauan Rossa;2025-12-23;2026-02-27;;;true;;;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Interface - Conta Corrente Integrado - CPR#02
